Approved symbol	Previous symbols	Pubmed IDs	Synonyms
AGMAT		11804860, 14648699, 11914032	FLJ23384
AGMO	TMEM195	20643956	FLJ16237
AGMX2		3502688	
AGO1	EIF2C1	10534406, 12906857	hAGO1
AGO2	EIF2C2, CASC7	10534406, 12906857	hAGO2, Q10, LINC00980
AGO3	EIF2C3	12906857	hAGO3, FLJ12765
AGO4	EIF2C4	12906857	hAGO4, KIAA1567, FLJ20033
AGPAT1		9461603, 9291118	LPAAT-alpha
AGPAT2	BSCL	9242711, 9212163	LPAAT-beta
AGPAT3			LPAAT-gamma
AGPAT4			LPAAT-delta, dJ473J16.2
AGPAT4-IT1	C6orf59, NCRNA00241		FLJ23112
AGPAT5			FLJ11210, LPAAT-e, LPAAT-epsilon
AGPAT5P1			
AGPS		9187299, 9553082	ADHAPS, ADAS, ALDHPSY, ADPS, ADAP-S
AGR2		9790916	XAG-2, HAG-2, AG2, PDIA17
AGR3		12592373, 12477722	HAG3, hAG-3, BCMP11, PDIA18
AGRN	AGRIN	1851019, 12270958	
AGRP		9119224, 9311920	Agrt, ART, ASIP2
AGT	SERPINA8	6089875, 24172014	
AGTPBP1		11083920	KIAA1035, Nna1, CCP1
AGTR1	AGTR1B	1550596	AT1, AT2R1, AGTR1A, AT2R1A, HAT1R, AG2S, AT2R1B, AT1B
AGTR2		1550596	AT2, MRX88
AGTRAP		11733189	ATRAP
AGXT	SPAT	2039493, 2045108	AGXT1, PH1, AGT, SPT, AGT1
AGXT2		15240345	AGT2
AHCTF1		11952839	ELYS
AHCTF1P1	AHCTF1P		ELYS-like
AHCY		7079734, 6580258	SAHH
AHCYL1		11904675, 16754674, 12525476	XPVKONA, IRBIT, PPP1R78
AHCYL2			KIAA0828
AHCYP1			
AHCYP2			
AHCYP3			
AHCYP4			
AHCYP5			
AHCYP6			
AHCYP7			
AHCYP8			
AHDC1		8619474, 9110174	DJ159A19.3, RP1-159A19.1
AHI1		15060101, 16240161	FLJ20069, ORF1, JBTS3
AHNAK		7987395, 12153988	MGC5395
AHNAK2	C14orf78	15007166	
AHR		8125016	bHLHe76
AHRR	AHH, AHHR	1070014, 11423533	KIAA1234, bHLHe77
AHSA1	C14orf3	26796264	p38, Aha1, hAha1
AHSA2P	AHSA2	12504007	DKFZp564C236, Hch1, AHA1
AHSG		9322749, 7736783	FETUA, A2HS, HSGA
AHSP	ERAF	11231637, 12066189	EDRF
AIC		6818132, 1971852	
AICDA			HIGM2, CDA2, ARP2, AID
AIDA	C1orf80	8619474, 9110174, 17681137	FLJ12806
AIF1		8912632	IRT-1, AIF-1, Em:AF129756.17, IBA1
AIF1L	C9orf58	11230166	IBA2, FLJ12783
AIFM1	PDCD8, NAMSD	9989411, 23217327	AIF, CMTX4
AIFM1P1			
AIFM2	AMID	12135761, 11980907, 15958387	FLJ14497, PRG3
AIFM3		15764604	AIFL, FLJ30473
AIG1		11266118	dJ95L4.1, AIG-1, FLJ10485
AIG1P1			
AIH3		1358807	
AIM2		9242382, 25665578	PYHIN4
AIMP1	SCYE1	7929199, 7545917	EMAPII, EMAP-2, p43
AIMP1P1	SCYE1P		bA400P21.1
AIMP1P2			
AIMP2		8666379, 18695251	p38, PRO0992, JTV-1, JTV1
AIP		8972861, 9111057	XAP2, ARA9, FKBP16
AIPL1	LCA4	10615133, 14555765, 15365173	
AIRE	APECED	9398840	PGA1, APS1
AIRN		18789384, 19008856	AIR, NCRNA00088, IGF2RAS, IGF2R-AS1
AIS1		11912181, 12707860, 16098053	
AIS2		14691733	
AIS3		14691733	
AJAP1		14595118	SHREW1, SHREW-1, MOT8
AJM1	C9orf172		ajm-1
AJUBA	JUB	10330178	MGC15563
AK1			
AK2		8843353, 6961883	
AK2P1		10092943	AK2B
AK2P2			
AK3	AK6, AK3L1	8288, 182062	AKL3L1
AK3P2			HsT26053
AK3P3			
AK3P4			
AK3P5			
AK3P6			
AK4	AK3, AK3L1	11485571	
AK4P1	AK3P1	1639383	
AK4P2			
AK4P3	AK3L2		AK3L2P
AK4P4			
AK4P5			
AK4P6			
AK5		10215863	
AK6		16079131	CINAP
AK6P1			
AK6P2			
AK7			FLJ32864
AK8	C9orf98	21080915	FLJ32704
AK9	C6orf224, AKD2, C6orf199, AKD1	23416111	FLJ42177, FLJ25791, dJ70A9.1, MGC26954
AKAIN1	C18orf42	25653177	
AKAP1	PRKA1	8769136, 7499250	AKAP121, AKAP149, SAKAP84, S-AKAP84, AKAP84, D-AKAP1, PPP1R43, TDRD17
AKAP2	PRKA2	10231032	AKAP-KL, KIAA0920, DKFZp564L0716, MISP2
AKAP3		10334916, 10319321	FSP95, SOB1, AKAP110, CT82
AKAP4		9822690, 9514854	p82, hAKAP82, AKAP82, Fsc1, HI, CT99
AKAP5		1512224, 1618839	AKAP75, AKAP79
AKAP6		7721854, 9205841	KIAA0311, mAKAP, AKAP100, PRKA6, ADAP6
AKAP7		9545239	AKAP18, AKAP15
AKAP8		9473338	AKAP95, DKFZp586B1222
AKAP8L		10748171, 10761695	NAKAP95, HAP95
AKAP8P1			
AKAP9		9482789, 10390370, 24475373	KIAA0803, AKAP350, AKAP450, CG-NAP, YOTIAO, HYPERION, PRKA9, MU-RMS-40.16A, PPP1R45, LQT11
AKAP10		9326583	D-AKAP2, PRKA10, MGC9414
AKAP11		9734811, 8621616	KIAA0629, AKAP220, PRKA11, FLJ11304, DKFZp781I12161, PPP1R44
AKAP12		9000000	AKAP250, SSeCKS
AKAP13	LBC	9627117, 1860836	Ht31, BRX, AKAP-Lbc, c-lbc, PROTO-LB, HA-3, ARHGEF13
AKAP14		12475942	AKAP28
AKAP17A	CXYorf3, SFRS17A	9736779, 1438229, 19840947	XE7, XE7Y, DXYS155E, MGC39904, 721P, CCDC133
AKAP17BP	AKAP16B, AKAP16BP	17302988	
AKIP1	C11orf17	20562110, 18178962, 15630084	BCA3
AKIRIN1	C1orf108	19200367	FLJ12666
AKIRIN1P1			
AKIRIN1P2			
AKIRIN2	C6orf166		FLJ10342, dJ486L4.2
AKIRIN2P1			
AKNA		11268217, 11853319	KIAA1968
AKNAD1	C1orf62		MGC26989
AKR1A1		2498333, 10393438	ALR, DD3
AKR1B1	ALDR1	1901827	AR
AKR1B1P1	ALDRL1	8244370	
AKR1B1P2	ALDRP	1612607, 8244370	
AKR1B1P3	ALDRL3	8244370	
AKR1B1P4	ALDRL4	8244370	
AKR1B1P5	AKR1B1P		
AKR1B1P6			
AKR1B1P7			
AKR1B1P8			
AKR1B10	AKR1B11	9765596, 9565553	AKR1B12, ARL-1, HIS, ARL1, HSI, ALDRLn
AKR1B10P1			
AKR1B10P2			
AKR1B15			
AKR1C1	DDH1	8011662	DDH, MBAB, DD1, HAKRC
AKR1C2	DDH2, TDD	9716498, 21802064	DD, BABP, DD2, HAKRD, MCDR2
AKR1C3	HSD17B5	7650035, 9792917	KIAA0119, DDX, HAKRB, PGFS
AKR1C4	CHDR	7789999	DD4, HAKRA, C11, 3-alpha-HSD, CDR, MGC22581
AKR1C5P			
AKR1C6P			TAKR
AKR1C7P			
AKR1C8P	AKR1CL1	15164054	
AKR1D1	SRD5B1	7508385, 10343119	
AKR1D1P1	SRD5BP1, AKR1D1P	10343119	
AKR1E2	AKRDC1, AKR1CL2		MGC10612
AKR7A2		9576847	AFAR
AKR7A2P1		12879023	AFARP1
AKR7A3		10383892	
AKR7L		12879023	AFAR3
AKT1		21214427	RAC, PKB, PRKBA, AKT
AKT1S1		12524439	PRAS40, MGC2865, Lobe
AKT2		1409633	
AKT3		10092583, 10208883	PKBG, RAC-gamma, PRKBG
AKT3-IT1			
AKTIP	FTS	7818539, 8626685	FLJ13258
ALAD		6839527, 6378062	ALADH, PBGS
ALAS1	ALAS3, ALAS		
ALAS2	ASB	1577484	
ALB		6292049, 6192711	
ALCAM		7760007	CD166, MEMD
ALDH1A1	PUMB1, ALDH1	1709013	RALDH1
ALDH1A2		9819382	RALDH2
ALDH1A3	ALDH6	7698756	RALDH3
ALDH1B1	ALDH5	2061311	ALDHX
ALDH1L1	FTHFD	18848533	10-fTHF, FDH
ALDH1L1-AS1			
ALDH1L1-AS2			
ALDH1L2		20498374	FLJ38508, mtFDH
ALDH2		4015823, 2987944	
ALDH3A1	ALDH3	7774944, 1737758	
ALDH3A2	SLS, ALDH10	7894487	FALDH
ALDH3B1	ALDH7	9161417, 7828891	
ALDH3B2	ALDH8	8890755, 9161417	
ALDH4A1	ALDH4	8621661	P5CDh
ALDH5A1		7814412, 9059628	SSADH, SSDH
ALDH6A1	MMSDH	1527093	
ALDH7A1	ATQ1	9417906	EPD, PDE
ALDH7A1P1	ATQL1	9417906, 16004729	
ALDH7A1P2	ATQL2	9417906	
ALDH7A1P3	ATQL3	9417906	
ALDH7A1P4	ATQL4	9417906	
ALDH8A1		11007799	ALDH12
ALDH9A1	ALDH7, ALDH4, ALDH9	8112751, 8786138	E3
ALDH16A1			MGC10204
ALDH18A1	GSAS, PYCS, SPG9	8921385, 26297558	P5CS
ALDOA		3570299	
ALDOAP1			
ALDOAP2		3674018	
ALDOB			
ALDOC			
ALG1		10704531, 14973782	HMT-1, HMAT1, CDG1K, Mat-1
ALG1L			ALG1L1
ALG1L2			
ALG1L3P			
ALG1L5P			
ALG1L6P			
ALG1L7P			
ALG1L8P			
ALG1L9P			
ALG1L10P			
ALG1L11P			
ALG1L12P			
ALG1L13P			
ALG1L14P			
ALG1L15P			
ALG2		12684507, 23404334	CDGIi, FLJ14511, hALPG2, NET38, CDG1I
ALG3		1058125	NOT56L, Not56, CDGS4, D16Ertd36e
ALG3P1			
ALG5		10359825	bA421P11.2
ALG6		10359825, 11875054	
ALG8			MGC2840
ALG9	DIBD1	12030331, 15148656	
ALG9-IT1			
ALG10			FLJ14751, DIE2, ALG10A
ALG10B			KCR1
ALG11		20080937	KIAA0266, CDG1P
ALG12		11983712	ECM39, CDG1G
ALG13	GLT28D1, CXorf45	22492991, 24501762	MDS031, YGL047W, FLJ23018, TDRD13, CDG1S
ALG13-AS1			
ALG14		15615718, 23404334	MGC19780
ALK		8122112	CD246
ALKAL1	FAM150A	26630010, 26418745	UNQ9433, AUGB
ALKAL2	FAM150B	26630010, 26418745	AUGA
ALKBH1	ALKBH	8600462, 22961808	hABH, alkB, ABH
ALKBH2			MGC90512, ABH2
ALKBH3		22055184	DEPC-1
ALKBH3-AS1			
ALKBH4		23673617	FLJ20013
ALKBH5	OFOXD1	11997338, 24778178	FLJ20308
ALKBH6		8889548	MGC15677
ALKBH7	SPATA11	23666923	MGC10974
ALKBH8		20123966, 21285950	MGC10235, TRM9, TRMT9A
ALLC		11054555	ALC
ALMS1		9063741	KIAA0328
ALMS1-IT1			
ALMS1P1	ALMS1L, ALMS1P	12477932	
ALOX5		2565035	5-LOX
ALOX5AP		1673682, 10036194	FLAP
ALOX12		1570320	12S-LOX
ALOX12-AS1			
ALOX12B		9618483	12R-LOX
ALOX12P1	ALOX12P	1570320	
ALOX12P2		9691181	
ALOX15		1570320	15-LOX-1
ALOX15B		9177185	15-LOX-2
ALOX15P1	ALOX15P		
ALOX15P2			
ALOXE3			eLOX3, E-LOX
ALOXE3P1			
ALPG	ALPPL2		GCAP
ALPI		3468508, 3469665	IAP
ALPK1		10021370, 10819331	Lak, FLJ22670, KIAA1527
ALPK2		10021370	HAK
ALPK3		10021370	MAK, KIAA1330, Midori
ALPL	HOPS	3532105, 3446011	TNSALP, TNALP, TNAP
ALPP		3001717, 3461452	PALP, PLAP
ALPPP		11352565	
ALS2	ALS2CR6	11586298	
ALS2CL		15388334, 8889548, 17239822	FLJ36525, RN49018, DKFZp686I0110
ALS2CR12			
ALS3		11706389	
ALS5		9933301	
ALS7		12858291	
ALX1	CART1	8756334, 7592751	
ALX3	FND	15226305, 11807986, 19409524	
ALX4	PFM2	11017806, 8644736	FPP, PFM, KIAA1788
ALYREF	THOC4	11032328, 15998806	ALY, BEF, ALY/REF, REF
AMACR		9307041	RACE, P504S
AMBN		9126491	
AMBP	ITI, ITIL	1708673, 1385302	UTI, HCP, EDC1, HI30, IATIL, ITILC
AMBRA1		17622796, 17603510, 17589504	FLJ20294, KIAA1736, WDR94, DCAF3
AMCN		9345093	AMC, AMCN1, AMC1
AMD1			SAMDC
AMD1P1			
AMD1P2	AMD2, AMD, AMDP1	7789170	AMDPX, AMDPY
AMD1P3			
AMD1P4			
AMDHD1			MGC35366
AMDHD2		10810093	CGI-14
AMELX	AMG, AIH1	1734713	
AMELY	AMGL	2004775	
AMER1	FAM123B	21304492, 21498506, 20843316	RP11-403E24.2, FLJ39827, WTX
AMER2	FAM123A	20843316	FLJ25477
AMER3	FAM123C	20843316	FLJ38377
AMFR		1649192	RNF45, gp78
AMH		3754790, 18784351	MIS
AMHR2		7493017	MISR2, MISRII
AMIGO1		12629050	AMIGO, KIAA1163
AMIGO2		12629050, 12843293, 15107827	ALI1, DEGA
AMIGO3		12629050, 12975309	
AMLCR2		9382098	
AMMECR1		10049589, 9480748, 24646681	
AMMECR1-IT1			
AMMECR1L			MGC4268
AMMECR1LP1			
AMN		11279523	amnionless
AMN1			
AMOT		11257124, 16043488, 12406577	KIAA1071
AMOTL1		11733531	JEAP
AMOTL2			LCCP
AMPD1		1400401	MAD, MADA
AMPD2		1400401, 24482476	SPG63
AMPD3		1400401	
AMPH		8245793	
AMT		1993704, 8188235	GCST, NKH
AMTN		16304441	UNQ689, RSTI689
AMY1A	AMY1		
AMY1B	AMY1		
AMY1C	AMY1		
AMY2A	AMY2	3260028	
AMY2B	AMY2	8268204	
AMYP1	AMY2P		
AMZ1		15972818	KIAA1950
AMZ2		15972818	
AMZ2P1			FLJ32065
AMZ2P2			
ANAPC1		11179667	MCPR, TSG24, APC1
ANAPC1P1			
ANAPC2		11739784	APC2, KIAA1406
ANAPC4		6180011	APC4
ANAPC5		9469815	APC5
ANAPC7			APC7
ANAPC10		10318877, 11230166	APC10, DOC1, DKFZP564L0562
ANAPC10P1	ANAPC10P		
ANAPC11		10922056, 25825779	HSPC214, APC11, Apc11p, MGC882
ANAPC13		15060174	SWM1, APC13, DKFZP566D193
ANAPC15	C11orf51	21926987	HSPC020, DKFZP564M082, APC15
ANAPC16	C10orf104	14702039, 20360068	bA570G20.3, FLJ33728, APC16, CENP-27
ANCR			
ANG		1978563	RNASE5, RAA1
ANGEL1	KIAA0759	11943475	Ccr4e
ANGEL2		11943475	KIAA0759L, FLJ12793, Ccr4d
ANGPT1		9545648	KIAA0003, Ang1
ANGPT2		9545648	Ang2
ANGPT4		10051567, 10218486	
ANGPTL1	ANGPT3	10025962, 9286704	ANG3, AngY, ARP1
ANGPTL2		10473614	ARP2, HARP
ANGPTL3	ANGPT5	10644446	
ANGPTL4		10698685, 10866690, 23960078	pp1158, PGAR, ARP4, HFARP, FIAF, NL2
ANGPTL5		12624729	
ANGPTL6		12871997	ARP5, AGF
ANGPTL7		9727400, 11682471	CDT6, AngX
ANGPTL8	C19orf80	22809513, 23150577, 24262987	TD26, RIFL
ANHX			
ANIB1		11536080	
ANIB2		14872410	
ANIB3		15540160	
ANIB4		16740915	
ANK1	ANK	1689849	SPH1
ANK2	LQT4	7485162, 12571597	
ANK3		7665168	
ANK3-DT			
ANKAR		15110750	FLJ25415
ANKDD1A		12477932	FLJ25870
ANKDD1B			
ANKEF1	ANKRD5	17142250	FLJ21669, dJ839B4.6
ANKFN1			FLJ38335
ANKFY1		10940552, 17273843	ANKHZN, KIAA1255, ZFYVE14, BTBD23, RANK-5
ANKH	CCAL2, CMDJ	10894769, 12297989, 11326338	HANK, ANK, CPPDD, SLC62A1
ANKHD1		10470851, 11230166, 16098192	MASK, FLJ20288, FLJ11979, FLJ10042, FLJ14127, KIAA1085, MASK1
ANKHD1-EIF4EBP3		16297570, 14557257	MASK-BP3
ANKIB1			DKFZP434A0225, KIAA1386
ANKK1		15146457	X-kinase
ANKLE1	ANKRD41		FLJ39369, LEMD6
ANKLE2	KIAA0692	9734811	LEMD7, Lem4
ANKMY1			FLJ20499, ZMYND13
ANKMY2		25077969	DKFZP564O043, ZMYND20
ANKRA2		10965114	
ANKRD1		7730328	C-193, ALRP, CARP, CVARP, MCARP
ANKRD2		10873377, 15136035, 15677738	ARPP
ANKRD6		25218921	KIAA0957
ANKRD7		8812458	TSA806
ANKRD9			
ANKRD10			FLJ20093
ANKRD10-IT1			
ANKRD11		11483580	LZ16, T13
ANKRD12		10048485	KIAA0874, FLJ20053, GAC-1
ANKRD13A	ANKRD13	10508479	NY-REN-25
ANKRD13B			FLJ25555
ANKRD13C		11230166	DKFZP566D1346, dJ677H15.3
ANKRD13D			
ANKRD16			DKFZP434N1511
ANKRD17		11165478	GTAR, KIAA0697, FLJ22206, NY-BR-16, MASK2
ANKRD18A			KIAA2015, FLJ35740
ANKRD18B			bA255A11.3
ANKRD18CP			
ANKRD18DP			
ANKRD18EP			
ANKRD19P	ANKRD19		FLJ36178
ANKRD20A1	ANKRD20A		DKFZp434A171
ANKRD20A2			
ANKRD20A3			
ANKRD20A4			OTTHUMG00000066855
ANKRD20A5P	ANKRD20A5		MGC26718
ANKRD20A6P			
ANKRD20A7P			
ANKRD20A8P	ANKRD20B		
ANKRD20A9P			
ANKRD20A10P	ANKRD20A4P1		
ANKRD20A11P	C21orf81		
ANKRD20A12P			
ANKRD20A13P			
ANKRD20A14P			
ANKRD20A15P			
ANKRD20A16P			
ANKRD20A17P			
ANKRD20A18P	C21orf126		
ANKRD20A19P			
ANKRD20A20P	CCDC29		
ANKRD20A21P			
ANKRD22		28667340	MGC22805
ANKRD23		12456686	DARP, FLJ32449, MARP3
ANKRD24		11853319	KIAA1981
ANKRD26	THC2	10470851, 21211618	KIAA1074
ANKRD26P1			FLJ43980
ANKRD26P2			
ANKRD26P3	LINC00414		
ANKRD26P4			
ANKRD27		16525121	FLJ00040, DKFZp434L0718, VARP
ANKRD28		9205841, 19458477	KIAA0379, PITK, PP6-ARS-A, PPP1R65
ANKRD29			FLJ25053
ANKRD30A		11280766	NY-BR-1
ANKRD30B		11280766	NY-BR-1.1
ANKRD30BL	NCRNA00164, ANKRD30BP3	17114284	
ANKRD30BP1	C21orf110, ANKRD30BP		PRED4
ANKRD30BP2	C21orf99	12036297, 17114284	CT85, CTSP-1
ANKRD30BP3		12477932	
ANKRD31			FLJ40191
ANKRD33	C12orf7	20026326	DKFZp686O1689, PANKY
ANKRD33B			
ANKRD33B-AS1			
ANKRD34A	ANKRD34		
ANKRD34B			DP58
ANKRD34C			
ANKRD34C-AS1			
ANKRD35			FLJ25124
ANKRD36		12975309	UNQ2430
ANKRD36B	KIAA1641	10997877	FLJ21281
ANKRD36BP1	ANKRD26L1, ANKRD36BL1		MGC12538
ANKRD36BP2			
ANKRD36C			DKFZp667P0924
ANKRD36P1			
ANKRD37			Lrp2bp
ANKRD39		11042152	MGC41816
ANKRD40		12477932	MGC15396
ANKRD40CL	C17orf73, LINC00483		FLJ20694
ANKRD42			FLJ37874, SARP, PPP1R79
ANKRD44			PP6-ARS-B
ANKRD44-IT1			
ANKRD45			FLJ45235, CT117
ANKRD46			
ANKRD49		11162141	FLJ20189, FGIF, GBIF
ANKRD50			KIAA1223
ANKRD52			FLJ34236, PP6-ARS-C
ANKRD53			FLJ12056, FLJ36160
ANKRD54		15461802, 22527282	LIAR
ANKRD54P1			
ANKRD55			FLJ11795
ANKRD57P1			
ANKRD60	C20orf86		bA196N14.3
ANKRD61			
ANKRD62			DKFZp779B1634
ANKRD62P1			
ANKRD62P1-PARP4P3			VWFP1-ANKRD62P1-PARP4P3
ANKRD63			
ANKRD65			
ANKRD66			
ANKS1A	ANKS1	9039502	KIAA0229
ANKS1B		10490826, 12415113	EB-1, AIDA-1, cajalin-2, ANKS2
ANKS3		11853319	KIAA1977, FLJ32345, FLJ32767
ANKS4B			FLJ38819, HARP
ANKS6	SAMD6, ANKRD14	23793029	FLJ36928, NPHP16
ANKUB1	C3orf16		
ANKZF1		21896481	FLJ10415, ZNF744
ANLN		10931866	ANILLIN, Scraps, scra
ANO1	ORAOV2, TMEM16A	15067359, 18724360, 24692353	TAOS2, FLJ10261, DOG1
ANO1-AS1			
ANO2	C12orf3, TMEM16B	12739008, 15067359, 24692353	
ANO3	C11orf25, TMEM16C	12739008, 15067359, 23200863, 24692353	GENX-3947, DYT23
ANO4	TMEM16D	12739008, 15067359, 24692353	FLJ34221, FLJ34272, FLJ35277
ANO5	TMEM16E, LGMD2L	15067359, 20096397, 24692353	GDD1
ANO6	TMEM16F	15067359, 24692353	DKFZp313M0720
ANO7	PCANAP5, TMEM16G	14981236, 15375614, 24692353	NGEP, PCANAP5L, IPCA-5
ANO7L1	TMEM16M, C1orf224, ANO7P1		
ANO8	KIAA1623, TMEM16H	10997877, 24692353	
ANO9	TP53I5, TMEM16J	9305847, 24692353	PIG5
ANO10	TMEM16K	24692353	FLJ10375, MGC47890, SCAR10
ANOP1		1679229	MCOPS4
ANOS1	KAL, ADMLX, KAL1	11463336	KALIG-1, WFDC19
ANOS2P	ADMLY, KALP	1303285, 23721716	KAL-Y
ANP32A	C15orf1	8970164, 9144194	LANP, PP32, I1PP2A, PHAPI, MAPM, mapmodulin
ANP32A-IT1	C15orf28, NCRNA00321	14702039	FLJ11722, HsT18971
ANP32AP1			
ANP32B		9285060, 9473664	SSP29, PHAPI2, APRIL
ANP32BP1			
ANP32BP2			
ANP32BP3			
ANP32C		10086381, 10400610	PP32R1
ANP32D		10086381, 10400610	PP32R2
ANP32E		12438741	LANPL, MGC5350, LANP-L
ANPEP	CD13, PEPN	2428842, 1977688	LAP1, gp150, p150
ANTXR1		10947988, 11559528	TEM8, FLJ21776, FLJ10601, ATR
ANTXR2		11683410, 12700348	CMG2, CMG-2, FLJ31074
ANTXRL			
ANTXRLP1			
ANXA1	ANX1, LPC1	2936963	
ANXA2	ANX2, ANX2L4, CAL1H, LPC2D	7961821	LIP2
ANXA2P1	LPC2A, ANX2P1, ANX2L1	1611909, 2174397	
ANXA2P2	ANX2P2, ANX2L2, LPC2B	2969496	
ANXA2P3	ANX2P3, ANX2L3, LPC2C	2174397	LIP2
ANXA2R	C5orf39	16895901, 18636554	AXIIR
ANXA3	ANX3	1830024	
ANXA4	ANX4	1346776	
ANXA5	ENX2, ANX5	2960376	
ANXA6	ANX6	3258820	
ANXA7	ANX7	7515686	
ANXA8	ANX8	1364010	
ANXA8L1	ANXA8L2		bA301J7.3, bA145E20.2
ANXA9	ANX31	9742942, 9931420	
ANXA10		10458909	ANX14
ANXA11	ANX11	7508441, 9503022	
ANXA13	ANX13	9503022	
AOAH		1883828	
AOAH-IT1			
AOC1	ABP1	8182053	DAO
AOC2		9119395, 9722954	RAO, DAO2
AOC3		9653080, 8972912	VAP1, HPAO, VAP-1
AOC4P		20013028, 26160837	UPAT
AOPEP	C9orf3	15687497	C90RF3, FLJ14675, APO, AP-O
AOX1		7570184	AO, AOH1
AOX2P	AOX2	11562361, 23263164	AOH2
AOX3P		10893244, 23263164	AOH1
AOX3P-AOX2P			
AP1AR	C4orf16	15775984	PRO0971, 2C18, gamma-BAR
AP1B1	ADTB1, CLAPB2	7987321, 8812422	BAM22, AP105A
AP1B1P1	ADTB1L1	10591208	dJ127L4.2
AP1B1P2	ADTB1L2	10591208	dJ127L4.3
AP1G1	CLAPG1, ADTG	9653655, 9733768	
AP1G2		9733768, 9762922	G2AD
AP1M1		9653655, 17988225	AP47, CLAPM2
AP1M2		10338135	HSMU1B, mu2, AP1-mu2
AP1S1	CLAPS1, EKV3	9653655, 9733768, 19057675	AP19, SIGMA1A, WUGSC:H_DJ0747G18.2
AP1S2	MRX59, MRXS5, PGS	9733768, 17186471, 23756445	SIGMA1B
AP1S2P1			
AP1S3			
AP2A1	CLAPA1, ADTAA	2564002	
AP2A2	CLAPA2, ADTAB	9700202, 2564002	DKFZP564D1864, HYPJ, KIAA0899, HIP9
AP2B1	ADTB2, CLAPB1	8262066, 8595912	
AP2M1	CLAPM1	8595912	AP50, mu2
AP2S1	CLAPS2, HHC3	9040778, 9767099, 23222959	FBHOk, FBH3
AP3B1		9182526, 9151686	ADTB3A, HPS2
AP3B2		7671305, 1851215	NAPTB
AP3D1		9151686, 9303295	ADTD
AP3M1		10024875	
AP3M2		7601449	CLA20, AP47B
AP3S1	CLAPS3	8697810, 9118953	
AP3S2		9118953	sigma3b
AP4B1	SPG47	10066790	BETA-4
AP4B1-AS1			
AP4E1		10436028, 21620353	AP-4-EPSILON, SPG51
AP4M1		9013859, 10066790, 21620353	MU-ARP2, MU-4, SPG50
AP4S1		10436028, 21620353	CLA20, AP47B, SPG52
AP5B1		22022230	PP1030, AP-5, DKFZp761E198
AP5M1	C14orf108, MUDENG	18395520	FLJ10813, MuD, mu5
AP5S1	C20orf29	11780052, 22022230	FLJ11168
AP5Z1	KIAA0415	20613862, 22022230	SPG48, zeta
APAF1		9267021, 10702682	CED4, APAF-1
APBA1	MINT1	7678331, 7719031	D9S411E, X11
APBA2	X11L, MINT2	8955346	D15S1518E, LIN-10, MGC:14091, HsT16821
APBA3		10049767	X11L2, mint3
APBB1	RIR	8955346, 8894693	Fe65
APBB1IP		9407065	INAG1, RIAM
APBB2		8955346, 9585438	FE65L, FE65L1, MGC35575
APBB3		9407065	FE65L2
APC		1651563	DP2, DP3, DP2.5, PPP1R46
APC2		9823329, 10021369	APCL
APCDD1		12384519	B7323
APCDD1L			FLJ90166
APCDD1L-DT	APCDD1L-AS1		
APCS		2987268	SAP, PTX2, MGC88159
APEH	D3F15S2, DNF15S2, D3S48E	2392324	
APELA		20153842, 24316148, 24407481	Ende, ELA, tdl
APEX1	APEX		APE, REF1, HAP1, APX, APEN, REF-1, APE-1
APEX2		11376153	APEXL2, APE2, XTH2, ZGRF2
APH1A		10810093, 12110170	APH-1A, CGI-78
APH1B		12110170, 11230166	PSFL, APH-1B, DKFZp564D0372
API5		9307294	AAC-11, API5L1, AAC11
API5P1	API5L1	10373420	
API5P2			
APIP		10810093, 15262985, 24367089	CGI-29, Mmrp19, APIP2
APLF	C2orf13	18474613, 18077224, 17353262	MGC47799, Xip1, ZCCHH1
APLN		9792798, 10525157	apelin, XNPEP2
APLNR	AGTRL1	8294032, 14622440	FLJ90771, APJ, APJR
APLP1		8432545	APLP
APLP2	APPL2	10702673	APPH
APMAP	C20orf3	10945474, 11583587, 20552250	BSCv
APOA1			
APOA1-AS		24388749	
APOA2		2415515	
APOA4			
APOA5		11588264, 11577099	RAP3, APOA-V
APOB			
APOBEC1			BEDP, CDAR1, APOBEC-1, HEPR
APOBEC2		10403781	ARCD1, ARP1
APOBEC3A		11863358, 10469298	ARP3, PHRBN
APOBEC3A_B		19788695, 17447845	
APOBEC3AP1			
APOBEC3B		11863358, 10469298	PHRBNL, FLJ21201
APOBEC3B-AS1			
APOBEC3C		11863358	APOBEC1L, PBI, bK150C2.3, ARDC2, ARDC4, ARP5
APOBEC3D	APOBEC3E	11863358	ARP6, APOBEC3DE
APOBEC3F		11863358, 17121840	ARP8, BK150C2.4.MRNA, KA6
APOBEC3G		11863358	CEM15, MDS019, dJ494G10.1, FLJ12740, bK150C2.7
APOBEC3H		16571802	ARP10
APOBEC4	C1orf169	16082223	MGC26594, FLJ25691, RP1-127C7.4
APOBR		10852956	APOB48R, APOB100R
APOC1			
APOC1P1		27228351	lincRNA-APOC1P1-3
APOC2			
APOC3			
APOC4		8530039	
APOC4-APOC2			
APOD		2439269, 3453108	
APOE	AD2	10662539	
APOF		8093033	
APOH	B2G1	1582254	BG
APOL1	APOL	9325276, 11374903, 16020735	
APOL2		10591208, 11374903	APOL-II
APOL3		11374903	CG12-1, APOLIII
APOL4		11374903	APOLIV
APOL5		11374903	APOLV
APOL6		11374903, 15671246	APOL-VI, APOLVI
